Company ID;Event ID;Event description;Order number;Order date;Order time;Stat order date;Stat L/D;Delivery;Payment;Table number;Customer name;Department;I/T;Item;Variants;Item with variants;Quantity;Price;Amount
20;3;FESTA D'AUTUNNO 2026;38;2026-09-07;20:19:45;2026-09-07;D;T;E;202;Daniele;PRIMI;K;PENNE FORMAGGI;;PENNE FORMAGGI;1,00;6,00;6,00
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05;L;T;E;106;;PRIMI;K;PENNE RAGU';;PENNE RAGU';1,00;6,00;6,00
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05;L;T;E;106;;PRIMI;K;GNOCCHI RAGU';;GNOCCHI RAGU';1,00;6,00;6,00
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05;L;T;E;106;;SECONDI;K;BIS;;BIS;1,00;6,50;6,50
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05;L;T;E;106;;SECONDI;K;TRIS;;TRIS;1,00;11,00;11,00
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05;L;T;E;106;;SECONDI;I;PATATE FRITTE;;PATATE FRITTE;1,00;3,00;3,00
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05;L;T;E;106;;SECONDI;I;VERDURE GRIGLIATE;;VERDURE GRIGLIATE;1,00;3,50;3,50
20;3;FESTA D'AUTUNNO 2026;1;2026-09-05;15:25:19;2026-09-05;L;T;E;106;;BAR;I;BIONDA MEDIA;;BIONDA MEDIA;2,00;5,00;10,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;PRIMI;K;GNOCCHI RAGU';;GNOCCHI RAGU';2,00;6,00;12,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;PRIMI;K;GNOCCHI FORMAGGI;;GNOCCHI FORMAGGI;1,00;6,00;6,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;SECONDI;K;BRACIOLA;;BRACIOLA;1,00;7,00;7,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;SECONDI;K;TRIS;;TRIS;1,00;11,00;11,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;SECONDI;K;PIATTO SAGRA;;PIATTO SAGRA;1,00;14,00;14,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;SECONDI;I;PATATE FRITTE;;PATATE FRITTE;2,00;3,00;6,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;BAR;I;ROSSO LITRO;;ROSSO LITRO;1,00;4,00;4,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;BAR;I;ACQUA FRIZZANTE LITRO;;ACQUA FRIZZANTE LITRO;1,00;3,00;3,00
20;3;FESTA D'AUTUNNO 2026;2;2026-09-05;15:39:07;2026-09-05;L;T;C;206;;BAR;I;CAFFE';;CAFFE';2,00;1,00;2,00
20;3;FESTA D'AUTUNNO 2026;3;2026-09-05;15:40:02;2026-09-05;L;A;C;;ROBERTO VINCENZI;SECONDI;K;SALSICCE;;SALSICCE;2,00;6,00;12,00
20;3;FESTA D'AUTUNNO 2026;3;2026-09-05;15:40:02;2026-09-05;L;A;C;;ROBERTO VINCENZI;SECONDI;K;BRACIOLA;;BRACIOLA;2,00;7,00;14,00
20;3;FESTA D'AUTUNNO 2026;3;2026-09-05;15:40:02;2026-09-05;L;A;C;;ROBERTO VINCENZI;SECONDI;K;BIS;;BIS;2,00;6,50;13,00
20;3;FESTA D'AUTUNNO 2026;3;2026-09-05;15:40:02;2026-09-05;L;A;C;;ROBERTO VINCENZI;SECONDI;K;TRIS;;TRIS;3,00;11,00;33,00
20;3;FESTA D'AUTUNNO 2026;4;2026-09-05;15:41:12;2026-09-05;L;T;C;105;;PRIMI;I;TAGLIATELLE FUNGHI;;TAGLIATELLE FUNGHI;2,00;7,00;14,00
20;3;FESTA D'AUTUNNO 2026;4;2026-09-05;15:41:12;2026-09-05;L;T;C;105;;PRIMI;I;LASAGNE AUTUNNO;;LASAGNE AUTUNNO;2,00;7,50;15,00
20;3;FESTA D'AUTUNNO 2026;4;2026-09-05;15:41:12;2026-09-05;L;T;C;105;;PRIMI;I;RAVIOLI;;RAVIOLI;2,00;6,50;13,00
